DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
16-Jul-2026,EQ,"2,206.00","2,231.40","2,187.80","2,189.20","2,199.10","2,201.00","2,212.76","3,350.00","1,976.80","51,97,595","11,50,10,44,792.20","1,73,110"
15-Jul-2026,EQ,"2,174.10","2,202.90","2,145.40","2,200.60","2,187.00","2,189.20","2,184.51","3,350.00","1,976.80","54,26,489","11,85,42,45,157.30","1,96,320"
14-Jul-2026,EQ,"2,182.90","2,228.00","2,179.00","2,181.50","2,197.00","2,200.60","2,200.40","3,350.00","1,976.80","95,46,290","21,00,56,60,491.10","2,72,515"
13-Jul-2026,EQ,"2,075.00","2,204.90","2,065.10","2,069.00","2,182.90","2,181.50","2,162.90","3,350.00","1,976.80","1,23,82,622","26,78,23,59,193.50","3,81,465"
10-Jul-2026,EQ,"2,105.20","2,133.30","2,064.60","2,049.50","2,068.00","2,069.00","2,088.11","3,426.10","1,976.80","67,14,551","14,02,07,50,878.10","2,32,544"
09-Jul-2026,EQ,"2,057.50","2,065.00","2,016.00","2,057.50","2,059.00","2,049.50","2,043.56","3,426.10","1,976.80","37,91,498","7,74,81,64,028.40","1,62,757"
08-Jul-2026,EQ,"2,094.00","2,109.70","2,048.80","2,096.10","2,059.60","2,057.50","2,077.56","3,426.10","1,976.80","36,66,985","7,61,83,89,000.00","1,48,206"
07-Jul-2026,EQ,"2,050.00","2,122.70","2,049.00","2,057.60","2,095.90","2,096.10","2,098.44","3,426.10","1,976.80","47,69,048","10,00,75,61,030.20","1,84,997"
06-Jul-2026,EQ,"2,090.00","2,093.00","2,050.60","2,093.50","2,059.00","2,057.60","2,061.87","3,426.10","1,976.80","25,67,386","5,29,36,19,608.80","1,74,420"
03-Jul-2026,EQ,"2,100.00","2,116.60","2,085.00","2,068.10","2,088.00","2,093.50","2,099.43","3,489.90","1,976.80","40,28,819","8,45,82,29,638.50","2,07,169"
02-Jul-2026,EQ,"2,008.00","2,076.90","2,002.50","1,982.60","2,070.90","2,068.10","2,051.09","3,489.90","1,976.80","60,40,621","12,38,98,73,438.80","2,38,163"
01-Jul-2026,EQ,"2,039.90","2,052.00","1,976.80","2,031.50","1,981.80","1,982.60","2,006.75","3,489.90","1,976.80","46,58,295","9,34,80,43,502.80","2,20,027"
30-Jun-2026,EQ,"2,090.00","2,104.30","2,018.80","2,097.90","2,033.00","2,031.50","2,042.05","3,489.90","2,018.80","68,48,411","13,98,47,86,947.60","2,94,008"
29-Jun-2026,EQ,"2,090.00","2,105.00","2,071.00","2,094.70","2,094.00","2,097.90","2,089.53","3,489.90","2,055.00","34,12,470","7,13,04,58,833.10","1,62,690"
25-Jun-2026,EQ,"2,133.60","2,148.50","2,088.00","2,109.00","2,095.90","2,094.70","2,117.73","3,489.90","2,055.00","47,38,903","10,03,57,14,708.10","1,77,569"
24-Jun-2026,EQ,"2,061.00","2,120.70","2,061.00","2,059.60","2,107.10","2,109.00","2,093.61","3,489.90","2,055.00","47,47,277","9,93,89,58,483.50","1,80,127"
24-Jun-2026,BL,"2,059.60","2,059.60","2,059.60","3,019.00","2,059.60","2,059.60","2,059.60","3,266.00","2,059.60","1,83,328","37,75,82,348.80","1"
23-Jun-2026,EQ,"2,111.00","2,114.00","2,055.00","2,127.80","2,060.00","2,059.60","2,073.42","3,489.90","2,055.00","63,92,736","13,25,48,06,163.90","2,80,238"
22-Jun-2026,EQ,"2,132.20","2,157.00","2,121.00","2,125.00","2,129.50","2,127.80","2,135.79","3,489.90","2,059.90","45,66,101","9,75,22,28,673.00","1,48,495"
19-Jun-2026,EQ,"2,105.00","2,138.00","2,059.90","2,203.30","2,135.90","2,125.00","2,089.19","3,538.00","2,059.90","1,32,86,502","27,75,80,42,714.10","4,81,812"
18-Jun-2026,EQ,"2,209.00","2,214.00","2,182.00","2,223.00","2,202.50","2,203.30","2,197.22","3,538.00","2,110.00","37,35,188","8,20,70,25,076.50","1,41,783"
17-Jun-2026,EQ,"2,209.00","2,231.00","2,200.70","2,199.00","2,221.00","2,223.00","2,220.40","3,538.00","2,110.00","28,65,010","6,36,14,71,428.90","1,07,237"
16-Jun-2026,EQ,"2,167.00","2,209.00","2,160.60","2,162.00","2,197.90","2,199.00","2,189.97","3,538.00","2,110.00","30,79,898","6,74,48,89,594.10","1,20,376"
15-Jun-2026,EQ,"2,192.00","2,192.00","2,159.30","2,161.40","2,162.60","2,162.00","2,170.27","3,538.00","2,110.00","33,37,083","7,24,23,75,099.40","1,13,160"
12-Jun-2026,EQ,"2,150.00","2,168.00","2,138.00","2,135.60","2,161.10","2,161.40","2,153.15","3,538.00","2,110.00","21,24,656","4,57,46,95,142.60","98,414"
11-Jun-2026,EQ,"2,127.00","2,154.60","2,110.00","2,153.90","2,136.70","2,135.60","2,132.03","3,538.00","2,110.00","30,79,815","6,56,62,43,978.90","1,46,700"
10-Jun-2026,EQ,"2,151.30","2,180.80","2,144.80","2,151.00","2,151.80","2,153.90","2,162.42","3,538.00","2,132.80","28,48,650","6,15,99,63,945.60","1,09,866"
09-Jun-2026,EQ,"2,174.00","2,174.00","2,132.80","2,151.40","2,152.00","2,151.00","2,148.74","3,538.00","2,132.80","41,48,655","8,91,43,99,373.70","1,37,800"
08-Jun-2026,EQ,"2,170.00","2,177.00","2,143.30","2,198.90","2,149.40","2,151.40","2,158.30","3,538.00","2,143.30","65,36,734","14,10,82,36,765.00","1,97,493"
05-Jun-2026,EQ,"2,262.90","2,271.80","2,192.00","2,241.00","2,196.00","2,198.90","2,219.87","3,538.00","2,192.00","50,19,717","11,14,31,26,655.80","2,26,269"
04-Jun-2026,EQ,"2,241.70","2,253.10","2,216.60","2,241.70","2,243.00","2,241.00","2,236.45","3,538.00","2,206.40","48,67,263","10,88,54,12,981.10","1,56,136"
03-Jun-2026,EQ,"2,393.00","2,393.00","2,224.80","2,446.90","2,245.00","2,241.70","2,267.78","3,538.00","2,206.40","1,56,60,062","35,51,36,38,076.70","5,02,630"
02-Jun-2026,EQ,"2,320.00","2,457.40","2,316.20","2,297.40","2,451.10","2,446.90","2,419.08","3,538.00","2,206.40","1,13,06,127","27,35,04,73,864.60","3,66,391"
01-Jun-2026,EQ,"2,284.00","2,335.00","2,280.00","2,258.90","2,296.40","2,297.40","2,300.81","3,538.00","2,206.40","75,05,095","17,26,77,97,717.50","1,54,067"
